                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.38001,                0.23275,                0.80352,                0.99839,                0.98268,                0.99058,                0.95525,                0.36616,                 0.2069,                0.79733,               0.000713,               0.000713,               0.000713
                    132,                0.39914,                0.23684,                0.81001,                0.99794,                0.98923,                0.99446,                 0.9622,                  0.383,                0.21821,                 0.8004,              0.0007031,              0.0007031,              0.0007031
                    133,                0.39726,                0.23611,                0.80642,                0.99826,                0.97211,                0.98389,                0.90408,                0.51925,                0.24165,                0.82237,              0.0006932,              0.0006932,              0.0006932
                    134,                0.39373,                0.23394,                0.80984,                0.99853,                0.98558,                0.99077,                0.95181,                0.39312,                0.21142,                0.80529,              0.0006833,              0.0006833,              0.0006833
                    135,                0.39012,                0.23262,                0.80781,                0.99886,                0.97128,                0.98321,                0.91501,                0.45894,                0.22317,                0.82343,              0.0006734,              0.0006734,              0.0006734
                    136,                0.38845,                0.23492,                0.80886,                0.99855,                0.98236,                0.98973,                0.92173,                0.43908,                0.21839,                0.81216,              0.0006635,              0.0006635,              0.0006635
                    137,                0.37091,                0.22506,                0.80385,                0.99851,                0.98178,                0.98955,                0.96366,                0.34121,                0.19431,                0.79461,              0.0006536,              0.0006536,              0.0006536
                    138,                0.38318,                0.22895,                0.80816,                0.99839,                0.98336,                0.99023,                0.95876,                0.35676,                0.20185,                0.79538,              0.0006437,              0.0006437,              0.0006437
                    139,                0.36025,                0.22458,                0.80352,                 0.9984,                0.98763,                0.99254,                0.95899,                0.36845,                0.20855,                 0.7972,              0.0006338,              0.0006338,              0.0006338
                    140,                0.37647,                0.23051,                0.80335,                0.99822,                0.97811,                0.98917,                0.95974,                0.36987,                0.20538,                0.79833,              0.0006239,              0.0006239,              0.0006239
